ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _wpcom_is_markdown","Download 1 name","Download 1 URL","Download 2 name","Download 2 URL"
RSB136,simple,RSB136,Fariña de Mandioca 5Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK077,simple,RSK077,Fecula de Maiz Amisol 1Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS077,simple,RS077,Fecula de Maiz Amisol 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS3910,simple,RS3910,Galletas Maria Tradicional Estrela 350g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK281,simple,RSK281,Garbanzos 1Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS282,simple,RS282,Garbanzos 8MM 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSB281,simple,RSB281,Garbanzos 8MM 5Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS0784,simple,RS0784,Garrapiñada 5.5Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK286,simple,RSK286,Girasol Confitero 1Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS2865,simple,RS2865,Girasol Confitero 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK2861,simple,RSK2861,Girasol Tostado 1Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK2862,simple,RSK2862,Girasol Tostado C/Sal 1Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSE1151,simple,RSE1151,Gofio Pajarito 1/2Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSE115,simple,RSE115,Gofio Pajarito 1Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS320,simple,RS320,Granola 1.5Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK7010,simple,RSK7010,Granola Frutos Secos 900g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK7011,simple,RSK7011,Granola Frutos Secos C/Stevia 900g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS3201,simple,RS3201,Granola Paquete 320g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK7000,simple,RSK7000,Granola Tradicional 900g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK7001,simple,RSK7001,Granola Tradicional C/Stevia 900g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS173,simple,RS173,Harina de Maiz 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSB114,simple,RSB114,Harina de Maiz 5Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS386,simple,RS386,Hongos en Escabeche Cosecha Dorada 350g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS387,simple,RS387,Hongos en Escabeche Cosecha Dorada 660g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS388,simple,RS388,Hongos en Vinagre Cosecha Dorada 350g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS389,simple,RS389,Hongos en Vinagre Cosecha Dorada 660g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS5503,simple,RS5503,Jabon en Polvo Pacholi 3Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS5504,simple,RS5504,Jabon en Polvo Pacholi 400g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS5505,simple,RS5505,Jabon en Polvo Pacholi 5Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS5518,simple,RS5518,Jabon en Polvo Pacholi 800g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK040,simple,RSK040,Jengibre en Polvo 1Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS0040,simple,RS0040,Lentejas Argentinas 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK288,simple,RSK288,Lentejon 1Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSB0055,simple,RSB0055,Lentejon 5Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS288,simple,RS288,Lentejones 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK2851,simple,RSK2851,Lino Dorada 1Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS285,simple,RS285,Lino Dorado 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSB2851,simple,RSB2851,Lino Dorado 5Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSK287,simple,RSK287,Lino Marron 1Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS287,simple,RS287,Lino Marron 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSB287,simple,RSB287,Lino Marron 5Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS23,simple,RS23,Maiz en Grano Cosecha Dorada 300g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS25,simple,RS25,Maiz en Grano Cosecha Dorada 800g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS089,simple,RS089,Maiz Pisingallo 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSE089,simple,RSE089,Maiz Pisingallo 400g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSB089,simple,RSB089,Maiz Pisingallo 5Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS112,simple,RS112,Mani con Cascara 12Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS0785,simple,RS0785,Mani en Grano 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS178,simple,RS178,Mani Runner 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSB078,simple,RSB078,Mani Runner 5Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS0783,simple,RS0783,Mani Tostado S/Sal 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSH783,simple,RSH783,Mani Tostado S/Sal Cosecha Dorada 1Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSE785,simple,RSE785,Mani Tostado S/Sal Nutrifood 800g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RS0781,simple,RS0781,Mani Tostado Salado 25Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSH781,simple,RSH781,Mani Tostado Salado Cosecha Dorada 1Kg,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
RSE784,simple,RSE784,Mani Tostado Salado Nutrifood 800g,1,0,visible,,,,,taxable,,1,,,1,1,,,,,1,,,,
